name,gender,count
aabha,female,3
aabhas,male,2
aabhash,male,4
aabhesh,male,2
aabhusan,male,2
aabhushan,male,3
aabish,male,2
aabiskar,male,3
aabriti,female,2
aadarsh,male,9
aadarsha,male,9
aadesh,male,12
aadil,male,1
aadip,male,2
aadish,male,3
aadit,male,2
aaditya,male,11
aadya,female,2
aafaque,male,1
aagat,male,1
aagnya,female,1
aagya,female,2
aahana,female,1
aaisha,female,3
aaisha,male,1
aaishka,female,1
aaja,female,2
aaju,male,2
aakanchhya,female,2
aakar,male,3
aakarshan,male,3
aakash,male,73
aakashdip,male,2
aakish,male,1
aakreeti,female,2
aakrish,male,2
aakrishta,male,1
aakrist,male,2
aakrit,male,3
aakritee,female,1
aakritee,male,1
aakriti,female,30
aakriti,male,1
aakshan,male,1
aalok,male,13
aaman,male,2
aamir,male,1
aamod,male,2
aamosh,male,2
aanal,male,1
aanand,male,8
aananda,male,7
aang,male,2
aangnima,male,3
aanish,male,1
aanshu,male,3
aanya,female,1
aaradhana,female,1
aarambh,male,2
aarati,female,16
aarati,male,1
aarif,male,1
aarjabi,female,2
aarjan,male,5
aarjani,female,1
aarjawee,female,1
aarju,female,2
aarjya,female,1
aarogya,male,3
aarohan,male,1
aarshika,female,2
aarshiya,female,2
aarti,female,4
aarya,female,2
aarzoo,female,2
aasha,female,2
aasharam,male,2
aashaya,male,2
aashi,female,2
aashies,male,1
aashif,male,1
aashih,male,1
aashik,male,6
aashim,male,2
aashiq,male,3
aashis,male,12
aashish,male,166
aashisna,female,2
aashitosh,male,2
aashiya,female,1
aashma,female,5
aashma,male,1
aashraf,male,2
aashray,male,4
aashraya,male,2
aashriti,female,2
aashu,female,1
aashu,male,1
aashutoash,male,1
aashutosh,male,20
aasis,male,1
aasish,male,10
aasma,female,2
aastha,female,22
aastha,male,2
aastik,male,2
aasutosh,male,4
aatish,male,4
aatma,male,1
aavaas,male,2
aavas,male,4
aavash,male,9
aavishkar,male,2
aawaz,male,2
aawish,male,2
aayam,male,3
aayeesha,female,1
aayeesha,male,1
aayesha,female,2
aayoush,male,2
aaysha,female,2
aayush,male,71
aayusha,female,8
aayusha,male,1
aayushi,female,2
aayushka,female,1
aayushma,female,4
aayushma,male,1
aayushman,male,3
aazad,male,2
abadh,male,1
abadhesh,male,2
abani,male,1
abanish,male,2
abarodh,male,1
abashesh,male,2
abcon,male,2
abdhesh,male,2
abdul,male,15
abdullah,male,2
abdur,male,1
abdussabood,male,1
abeen,male,2
abesh,male,3
abha,female,1
abhar,male,2
abhas,male,2
abhash,male,7
abhay,male,11
abhaya,male,7
abhayaraj,male,2
abhi,male,4
